frame_idx,centroid_x,centroid_y,visible
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,2028,832,1
30,2028,832,1
31,2030,833,1
32,2034,833,1
33,,,0
34,,,0
35,,,0
36,,,0
37,2046,832,1
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,2045,832,1
52,2047,832,1
53,2040,832,1
54,2032,832,1
55,2038,831,1
56,,,0
57,2044,832,1
58,2046,831,1
59,2043,831,1
60,,,0
61,2046,831,1
62,2048,831,1
63,,,0
64,,,0
65,2048,833,1
66,,,0
67,,,0
68,,,0
69,,,0
70,,,0
71,,,0
72,2046,833,1
73,2048,833,1
74,2042,832,1
75,2044,833,1
76,2043,833,1
77,2044,832,1
78,2043,833,1
79,2045,833,1
80,2043,832,1
81,2043,834,1
82,2044,832,1
83,2043,834,1
84,2041,832,1
85,2043,833,1
86,2044,833,1
87,2039,833,1
88,2036,833,1
89,2037,833,1
90,2036,833,1
91,1223,701,1
92,1223,701,1
93,1223,701,1
94,2027,834,1
95,1223,700,1
96,1223,700,1
97,1224,700,1
98,1224,700,1
99,1224,700,1
100,1224,700,1
101,1224,700,1
102,1224,700,1
103,1224,700,1
104,1224,700,1
105,2033,833,1
106,1224,700,1
107,1224,700,1
108,1224,700,1
109,1224,700,1
110,1225,700,1
111,2034,833,1
112,2033,833,1
113,1224,700,1
114,2043,832,1
115,2042,832,1
116,2042,832,1
117,2041,832,1
118,2037,832,1
119,2035,832,1
120,2036,832,1
121,2036,833,1
122,966,495,1
123,966,495,1
124,,,0
125,,,0
126,,,0
127,,,0
128,,,0
129,2044,829,1
130,2048,830,1
131,2045,829,1
132,2043,830,1
133,2043,829,1
134,2042,829,1
135,2041,829,1
136,2041,830,1
137,2039,829,1
138,2030,829,1
139,2031,829,1
140,2028,829,1
141,2027,829,1
142,2027,829,1
143,2031,833,1
144,2037,833,1
145,2020,831,1
146,2027,831,1
147,2032,831,1
148,2034,831,1
149,2031,832,1
150,2014,834,1
151,2016,831,1
152,2002,834,1
153,2002,833,1
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,2034,832,1
162,2024,832,1
163,2030,831,1
164,,,0
165,,,0
166,782,818,1
167,783,818,1
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,2044,828,1
178,2043,829,1
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,0
189,,,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,,,0
198,,,0
199,,,0
200,,,0
201,,,0
202,,,0
203,,,0
204,,,0
205,,,0
206,,,0
207,,,0
208,,,0
209,,,0
210,,,0
211,,,0
212,1999,827,1
213,1998,827,1
214,1997,828,1
215,1999,829,1
216,1998,829,1
217,1995,829,1
218,,,0
219,,,0
220,,,0
221,1215,408,1
222,1215,408,1
223,,,0
224,,,0
225,,,0
226,2048,825,1
227,,,0
228,,,0
229,,,0
230,,,0
231,,,0
232,,,0
233,,,0
234,,,0
235,,,0
236,,,0
237,,,0
238,,,0
239,,,0
240,,,0
241,,,0
242,,,0
243,,,0
244,,,0
245,,,0
246,,,0
247,,,0
248,,,0
249,,,0
250,,,0
251,,,0
252,,,0
253,,,0
254,,,0
255,,,0
256,,,0
257,,,0
258,,,0
259,,,0
260,,,0
261,,,0
